"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"568","RT @singularityhub: No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/L7JsY1iAdd https://t.co/VZNqg3YdHn",FALSE,0,NA,2017-11-29 22:43:42,FALSE,NA,"936002757701619713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JaegerSusanna",25,TRUE,FALSE,NA,NA
"569","RT @singularityhub: No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/L7JsY1iAdd https://t.co/VZNqg3YdHn",FALSE,0,NA,2017-11-29 22:38:49,FALSE,NA,"936001530246909952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ndkrdnz",25,TRUE,FALSE,NA,NA
"570","RT @singularityhub: No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/L7JsY1iAdd https://t.co/VZNqg3YdHn",FALSE,0,NA,2017-11-29 22:11:55,FALSE,NA,"935994758899494912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DacouttsDavid",25,TRUE,FALSE,NA,NA
"571","RT @singularityhub: No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/L7JsY1iAdd https://t.co/VZNqg3YdHn",FALSE,0,NA,2017-11-29 22:09:35,FALSE,NA,"935994171332186112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PatrickBo69",25,TRUE,FALSE,NA,NA
"572","RT @singularityhub: No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/L7JsY1iAdd https://t.co/VZNqg3YdHn",FALSE,0,NA,2017-11-29 22:07:26,FALSE,NA,"935993632619974657",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jlmarti2025",25,TRUE,FALSE,NA,NA
"573","RT @singularityhub: No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/L7JsY1iAdd https://t.co/VZNqg3YdHn",FALSE,0,NA,2017-11-29 22:07:23,FALSE,NA,"935993619239944192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","minkal0041",25,TRUE,FALSE,NA,NA
"574","No More Playing Games: AlphaGo AI to Tackle Some Real World Challenges https://t.co/L7JsY1iAdd https://t.co/VZNqg3YdHn",FALSE,41,NA,2017-11-29 22:07:02,FALSE,NA,"935993530119544834",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","singularityhub",25,FALSE,FALSE,NA,NA
"575","RT @BorisMarkovich: Really interesting conversation discussing building better AI without training data.  Some amazing advancements recentl＃",FALSE,0,NA,2017-11-29 20:43:02,FALSE,NA,"935972392316362753",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GregScoblete",1,TRUE,FALSE,NA,NA
"576","RT @DatSciAwards: #AlphaGo Zero Explained In One Diagram 每 Applied #DataScience https://t.co/S25tktOmfd by @Medium",FALSE,0,NA,2017-11-29 20:28:45,FALSE,NA,"935968799492395013",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VijayGowda2016",3,TRUE,FALSE,NA,NA
"577","RT @ksuderekc: ※AlphaGo Zero Explained In One Diagram§ https://t.co/YhBtRBcAus",FALSE,0,NA,2017-11-29 20:28:41,FALSE,NA,"935968780789960705",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ksu_MHKareaHS",4,TRUE,FALSE,NA,NA
"578","Gut feel and AlphaGo. Great story about AI @ronbodkin @PwC_Canada #pwcdtd",FALSE,0,NA,2017-11-29 20:16:56,FALSE,NA,"935965823159607296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ldesautels",0,FALSE,FALSE,NA,NA
"579","RT @42SiliconValley: Will #AI take over the world?! #42SiliconValley Cadet, Sasha, breaks down @DeepMindAI's #AlphaGO Zero! @Google Full vi＃",FALSE,0,NA,2017-11-29 20:12:10,FALSE,NA,"935964622636617728",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","42AI_",4,TRUE,FALSE,NA,NA
"580","Will #AI take over the world?! #42SiliconValley Cadet, Sasha, breaks down @DeepMindAI's #AlphaGO Zero! @Google Full＃ https://t.co/BxLAk7saF1",FALSE,12,NA,2017-11-29 19:14:54,TRUE,NA,"935950212610191360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","42SiliconValley",4,FALSE,FALSE,NA,NA
"581","RT @dennybritz: Because everything is a GAN, even AlphaGo. https://t.co/2jWeVfuX4a",FALSE,0,NA,2017-11-29 18:38:43,FALSE,NA,"935941105476079617",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MartiusBen",28,TRUE,FALSE,NA,NA
"582","""Nick Clegg: Artificial Intelligence is an opportunity, not a threat"" https://t.co/muAG1t0oM9 Something extraordina＃ https://t.co/DRMp2EkbkJ",FALSE,0,NA,2017-11-29 18:11:14,TRUE,NA,"935934190394232832",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","CloWillaerts",0,FALSE,FALSE,NA,NA
"583","RT @i_am_programer: Why AlphaGo Zero is a Quantum Leap Forward in Deep Learning

<U+261E> https://t.co/ehh3CmJRHU

#DeepLearning https://t.co/S2DJ＃",FALSE,0,NA,2017-11-29 17:04:38,FALSE,NA,"935917430353694721",NA,"<a href=""https://twitter.com/dspshin"" rel=""nofollow"">My retweeter bot</a>","dspshin",2,TRUE,FALSE,NA,NA
"584","""What AlphaGo Zero teaches us about what＊s going wrong with innovation"" https://t.co/guV9VZnAHq",FALSE,0,NA,2017-11-29 17:04:00,FALSE,NA,"935917270496370689",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","strickvl",0,FALSE,FALSE,NA,NA
"585","Why AlphaGo Zero is a Quantum Leap Forward in Deep Learning

<U+261E> https://t.co/MTCDoiiTOu

#DeepLearning https://t.co/TKqhykLUXb",FALSE,0,NA,2017-11-29 17:02:45,FALSE,NA,"935916956674338816",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","code__matrix",0,FALSE,FALSE,NA,NA
"586","Why AlphaGo Zero is a Quantum Leap Forward in Deep Learning

<U+261E> https://t.co/ehh3CmJRHU

#DeepLearning https://t.co/S2DJs9Ms5G",FALSE,0,NA,2017-11-29 17:02:13,FALSE,NA,"935916821827514369",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","i_am_programer",2,FALSE,FALSE,NA,NA
"587","Why AlphaGo Zero is a Quantum Leap Forward in Deep Learning

<U+261E> https://t.co/ZEn5bszUQs

#DeepLearning https://t.co/9xMMRA9eZX",FALSE,0,NA,2017-11-29 17:01:52,FALSE,NA,"935916732669157382",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","A_programmers",1,FALSE,FALSE,NA,NA
